"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct"
"275",275,28,"24-02-2018","Stamford Bridge","Liverpool","West Ham",0.681818181818182,0.0454545454545455,0.272727272727273
"276",276,28,"24-02-2018","Anfield","Watford","Everton",0.4,0.4,0.2
"277",277,28,"24-02-2018","Etihad Stadium","West Brom","Huddersfield",0,1,0
"278",278,28,"25-02-2018","The City Ground","Crystal Palace","Tottenham",0.25,0.625,0.125
"279",279,28,"25-02-2018","St. Mary's Stadium","Man United","Chelsea",0.36,0.24,0.4
"280",280,28,"01-03-2018","Molineux Stadium","Arsenal","Man City",0.55,0.1,0.35
"281",281,29,"03-03-2018","Vitality Stadium","Burnley","Everton",0.75,0.25,0
"282",282,29,"03-03-2018","Emirates Stadium","Leicester","Bournemouth",0,0,1
"283",283,29,"03-03-2018","Amex Stadium","Liverpool","Newcastle",0.782608695652174,0.0434782608695652,0.173913043478261
"284",284,29,"03-03-2018","Stamford Bridge","Southampton","Spurs",0.166666666666667,0.333333333333333,0.5
