,Team1,Team2,HomeWin,AwayWin,HomeDraw,AwayDraw
491,West Ham,Hull,1,0,0,0.4
492,West Ham,Stoke,0.22,0.33,0.56,0.33
493,West Ham,Burnley,0.75,0.5,0,0.25
494,West Ham,Blackpool,0,1,1,0
495,West Ham,Swansea,0.83,0.17,0,0.5
496,West Ham,Cardiff,1,1,0,0
497,West Ham,Bournemouth,0.33,0.33,0.33,0.33
498,West Ham,Brighton,0,0,0,0
499,West Ham,Huddersfield,1,1,0,0
500,Norwich,Arsenal,0.14,0,0.43,0.29
501,Norwich,Aston Villa,0.29,0,0.29,0.43
502,Norwich,Chelsea,0.14,0.14,0.29,0.14
503,Norwich,Liverpool,0,0.14,0.14,0.29
504,Norwich,Man City,0,0.14,0.57,0.29
505,Norwich,Newcastle,0.57,0,0.29,0.14
506,Norwich,Oldham,0,0,1,0
507,Norwich,Sheffield United,0,1,0,0
508,Norwich,Southampton,0.5,0.17,0.33,0.33
509,Norwich,West Ham,0.4,0,0.6,0.6
510,Norwich,Norwich,0,0,0,0
511,Norwich,Tottenham,0.14,0.29,0.14,0.29
512,Norwich,Everton,0.29,0.14,0.57,0.29
513,Norwich,Ipswich,1,0.5,0,0
514,Norwich,Leeds,1,0.5,0,0
515,Norwich,Wimbledon,0,0,0,0
516,Norwich,Blackburn,0.25,0.25,0.75,0.25
517,Norwich,Coventry,0.5,0,0.5,0
518,Norwich,Man United,0.29,0.14,0,0.14
519,Norwich,QPR,0.5,0.25,0.25,0.5
520,Norwich,Sheffield Weds,0,0,1,1
521,Norwich,Swindon,0,0,1,1
522,Norwich,Crystal Palace,0.25,0.25,0.5,0.5
523,Norwich,Leicester,0.5,0,0,0
524,Norwich,Nottingham Forest,0,0,0,0
525,Norwich,Bolton,1,0.5,0,0
526,Norwich,Middlesbrough,0,0,1,0
527,Norwich,Derby,0,0,0,0
528,Norwich,Sunderland,0.75,0.25,0,0.5
529,Norwich,Barnsley,0,0,0,0
530,Norwich,Charlton,1,0,0,0
531,Norwich,Watford,1,0,0,0
532,Norwich,Bradford,0,0,0,0
533,Norwich,Fulham,0,0,0.5,0
534,Norwich,Birmingham,1,0,0,1
535,Norwich,Middlesboro,0,0,0,0
